PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39442038,Choroid Plexus Volume in Pediatric-Onset Multiple Sclerosis.,2024,"Grasso, Eleonora A; Bloy, Luke; Kaplan, Phillip; Bar-Or, Amit; Yeh, E Ann; Arnold, Douglas L; Narayanan, Sridar; Marrie, Ruth Ann; Fadda, Giulia; Banwell, Brenda L; , ","From the Departments of Neurology (E.A.G., P.K., B.L.B.), Radiology (L.B.), Children's Hospital of Philadelphia, PA; Department of Neurology (A.B.-O.), University of Pennsylvania, PA; Division of Neurology (E.A.Y.), The Hospital for Sick Children, Toronto, Canada; McConnell Brain Imaging Centre (D.L.A.), Montreal Neurological Institute, Montreal, Canada; Department of Neurology (S.N.), McGill University, Montreal, Canada; Departments of Medicine and Community Health Sciences (R.A.M.), Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba, Winnipeg, Canada; and Department of Medicine (G.F.), University of Ottawa, Ottawa Hospital Research Institute, Ottawa, Canada.; From the Departments of Neurology (E.A.G., P.K., B.L.B.), Radiology (L.B.), Children's Hospital of Philadelphia, PA; Department of Neurology (A.B.-O.), University of Pennsylvania, PA; Division of Neurology (E.A.Y.), The Hospital for Sick Children, Toronto, Canada; McConnell Brain Imaging Centre (D.L.A.), Montreal Neurological Institute, Montreal, Canada; Department of Neurology (S.N.), McGill University, Montreal, Canada; Departments of Medicine and Community Health Sciences (R.A.M.), Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba, Winnipeg, Canada; and Department of Medicine (G.F.), University of Ottawa, Ottawa Hospital Research Institute, Ottawa, Canada.; From the Departments of Neurology (E.A.G., P.K., B.L.B.), Radiology (L.B.), Children's Hospital of Philadelphia, PA; Department of Neurology (A.B.-O.), University of Pennsylvania, PA; Division of Neurology (E.A.Y.), The Hospital for Sick Children, Toronto, Canada; McConnell Brain Imaging Centre (D.L.A.), Montreal Neurological Institute, Montreal, Canada; Department of Neurology (S.N.), McGill University, Montreal, Canada; Departments of Medicine and Community Health Sciences (R.A.M.), Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba, Winnipeg, Canada; and Department of Medicine (G.F.), University of Ottawa, Ottawa Hospital Research Institute, Ottawa, Canada.; From the Departments of Neurology (E.A.G., P.K., B.L.B.), Radiology (L.B.), Children's Hospital of Philadelphia, PA; Department of Neurology (A.B.-O.), University of Pennsylvania, PA; Division of Neurology (E.A.Y.), The Hospital for Sick Children, Toronto, Canada; McConnell Brain Imaging Centre (D.L.A.), Montreal Neurological Institute, Montreal, Canada; Department of Neurology (S.N.), McGill University, Montreal, Canada; Departments of Medicine and Community Health Sciences (R.A.M.), Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba, Winnipeg, Canada; and Department of Medicine (G.F.), University of Ottawa, Ottawa Hospital Research Institute, Ottawa, Canada.; From the Departments of Neurology (E.A.G., P.K., B.L.B.), Radiology (L.B.), Children's Hospital of Philadelphia, PA; Department of Neurology (A.B.-O.), University of Pennsylvania, PA; Division of Neurology (E.A.Y.), The Hospital for Sick Children, Toronto, Canada; McConnell Brain Imaging Centre (D.L.A.), Montreal Neurological Institute, Montreal, Canada; Department of Neurology (S.N.), McGill University, Montreal, Canada; Departments of Medicine and Community Health Sciences (R.A.M.), Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba, Winnipeg, Canada; and Department of Medicine (G.F.), University of Ottawa, Ottawa Hospital Research Institute, Ottawa, Canada.; From the Departments of Neurology (E.A.G., P.K., B.L.B.), Radiology (L.B.), Children's Hospital of Philadelphia, PA; Department of Neurology (A.B.-O.), University of Pennsylvania, PA; Division of Neurology (E.A.Y.), The Hospital for Sick Children, Toronto, Canada; McConnell Brain Imaging Centre (D.L.A.), Montreal Neurological Institute, Montreal, Canada; Department of Neurology (S.N.), McGill University, Montreal, Canada; Departments of Medicine and Community Health Sciences (R.A.M.), Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba, Winnipeg, Canada; and Department of Medicine (G.F.), University of Ottawa, Ottawa Hospital Research Institute, Ottawa, Canada.; From the Departments of Neurology (E.A.G., P.K., B.L.B.), Radiology (L.B.), Children's Hospital of Philadelphia, PA; Department of Neurology (A.B.-O.), University of Pennsylvania, PA; Division of Neurology (E.A.Y.), The Hospital for Sick Children, Toronto, Canada; McConnell Brain Imaging Centre (D.L.A.), Montreal Neurological Institute, Montreal, Canada; Department of Neurology (S.N.), McGill University, Montreal, Canada; Departments of Medicine and Community Health Sciences (R.A.M.), Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba, Winnipeg, Canada; and Department of Medicine (G.F.), University of Ottawa, Ottawa Hospital Research Institute, Ottawa, Canada.; From the Departments of Neurology (E.A.G., P.K., B.L.B.), Radiology (L.B.), Children's Hospital of Philadelphia, PA; Department of Neurology (A.B.-O.), University of Pennsylvania, PA; Division of Neurology (E.A.Y.), The Hospital for Sick Children, Toronto, Canada; McConnell Brain Imaging Centre (D.L.A.), Montreal Neurological Institute, Montreal, Canada; Department of Neurology (S.N.), McGill University, Montreal, Canada; Departments of Medicine and Community Health Sciences (R.A.M.), Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba, Winnipeg, Canada; and Department of Medicine (G.F.), University of Ottawa, Ottawa Hospital Research Institute, Ottawa, Canada.; From the Departments of Neurology (E.A.G., P.K., B.L.B.), Radiology (L.B.), Children's Hospital of Philadelphia, PA; Department of Neurology (A.B.-O.), University of Pennsylvania, PA; Division of Neurology (E.A.Y.), The Hospital for Sick Children, Toronto, Canada; McConnell Brain Imaging Centre (D.L.A.), Montreal Neurological Institute, Montreal, Canada; Department of Neurology (S.N.), McGill University, Montreal, Canada; Departments of Medicine and Community Health Sciences (R.A.M.), Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba, Winnipeg, Canada; and Department of Medicine (G.F.), University of Ottawa, Ottawa Hospital Research Institute, Ottawa, Canada.; From the Departments of Neurology (E.A.G., P.K., B.L.B.), Radiology (L.B.), Children's Hospital of Philadelphia, PA; Department of Neurology (A.B.-O.), University of Pennsylvania, PA; Division of Neurology (E.A.Y.), The Hospital for Sick Children, Toronto, Canada; McConnell Brain Imaging Centre (D.L.A.), Montreal Neurological Institute, Montreal, Canada; Department of Neurology (S.N.), McGill University, Montreal, Canada; Departments of Medicine and Community Health Sciences (R.A.M.), Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba, Winnipeg, Canada; and Department of Medicine (G.F.), University of Ottawa, Ottawa Hospital Research Institute, Ottawa, Canada.; From the Departments of Neurology (E.A.G., P.K., B.L.B.), Radiology (L.B.), Children's Hospital of Philadelphia, PA; Department of Neurology (A.B.-O.), University of Pennsylvania, PA; Division of Neurology (E.A.Y.), The Hospital for Sick Children, Toronto, Canada; McConnell Brain Imaging Centre (D.L.A.), Montreal Neurological Institute, Montreal, Canada; Department of Neurology (S.N.), McGill University, Montreal, Canada; Departments of Medicine and Community Health Sciences (R.A.M.), Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba, Winnipeg, Canada; and Department of Medicine (G.F.), University of Ottawa, Ottawa Hospital Research Institute, Ottawa, Canada.",None
39433199,Puberty progression in girls with Turner syndrome after ovarian tissue cryopreservation.,2024/Oct/19,None,None,sanne.vandercoelen@radboudumc.nl.
39420867,Characteristics and Utilization of Hospitalizations Among Children With Medical Complexity.,2024/Nov/01,None,None,None
39405581,Free sugars in the Canadian diet: a research summary and future directions for food policy.,2025/Jan/01,None,None,None
39404844,Quantitative analysis of islet prohormone convertase 1/3 expression in human pancreas donors with diabetes.,2024,"Chen, Yi-Chun; Grewal, Kavi; Verchere, C Bruce","Department of Surgery, University of British Columbia & BC Children's Hospital Research Institute, Vancouver, BC, Canada.; Department of Surgery, University of British Columbia & BC Children's Hospital Research Institute, Vancouver, BC, Canada.; Department of Surgery, University of British Columbia & BC Children's Hospital Research Institute, Vancouver, BC, Canada. bverchere@bcchr.ca.",teresa.rodriguez@helmholtz-munich.de.
39402045,Impact of provision of abdominal aortic calcification results on fruit and vegetable intake: 12-week randomized phase 2 controlled trial.,2024/Oct/14,"Radavelli-Bagatini, Simone; Bondonno, Catherine P; Dalla Via, Jack; Sim, Marc; Gebre, Abadi K; Blekkenhorst, Lauren C; Connolly, Emma L; Bondonno, Nicola P; Dimmock, James; Lim, Wai H; Devine, Amanda; Williams, Evan J; Wood, Lisa G; Sim, Moira; Hodgson, Jonathan M; Lewis, Joshua R","Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia. s.radavellibagatini@ecu.edu.au.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia.; Department of Psychology, College of Healthcare Sciences, James Cook University, Douglas, QLD, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia.; School of Biomedical Science and Pharmacy, University of Newcastle, Callaghan, NSW, Australia.; School of Biomedical Science and Pharmacy, University of Newcastle, Callaghan, NSW, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia.",s.radavellibagatini@ecu.edu.au.
39392012,GLP-1 receptor agonists: new kids in the block of renoprotection for people with type 2 diabetes and chronic kidney disease.,2024,None,None,None
39388720,Categorization of mHealth Coaching Technologies for Children or Adolescents With Type 1 Diabetes: Systematic Review.,2024/Oct/10,None,None,None
39360279,Plastics in human diets: development and evaluation of the 24-h Dietary Recall - Plastic Exposure and the Dietary Plastics Score.,2024,None,None,None
39357983,Cohort profile: Understanding the influence of early life environments and health and social service system contacts over time and across generations through the Western Australian Aboriginal Child Health Survey (WAACHS) Linked Data Study.,2024/Oct/02,"Mitrou, Francis; Brennan-Jones, Christopher G; Davis, Elizabeth A; Pearson, Glenn; Brown, Alex; Azzopardi, Peter; Cooper, Matthew M; Johnson, Sarah E; Hopkins, Katrina D; Zubrick, Stephen R","Population Health, The Kids Research Institute Australia, Perth, WA, Australia.; Ear Health Team, The Kids Research Institute Australia, Perth, WA, Australia.; Diabetes and Obesity Research Team, The Kids Research Institute Australia, Perth, WA, Australia.; Indigenous Health, The Kids Research Institute Australia, Perth, WA, Australia.; Indigenous Health, The Kids Research Institute Australia, Perth, WA, Australia.; Centre for Adolescent Health, Murdoch Children's Research Institute, Department of Paediatrics, The University of Melbourne, Melbourne, Victoria, Australia.; Biometrics, The Kids Research Institute Australia, Perth, WA, Australia.; Population Health, The Kids Research Institute Australia, Perth, WA, Australia Sarah.Johnson@thekids.org.au.; Population Health, The Kids Research Institute Australia, Perth, WA, Australia.; Population Health, The Kids Research Institute Australia, Perth, WA, Australia.",Sarah.Johnson@thekids.org.au.
39351075,ProVIA-Kids - outcomes of an uncontrolled study on smartphone-based behaviour analysis for challenging behaviour in children with intellectual and developmental disabilities or autism spectrum disorder.,2024,None,None,None
39339725,"Efficacy, Safety and Acceptability of a Very-Low-Energy Diet in Adolescents with Obesity: A Fast Track to Health Sub-Study.",2024/Sep/16,None,None,None
39338022,"""It Empowers You to Empower Them"": Health Professional Perspectives of Care for Hyperglycaemia in Pregnancy Following a Multi-Component Health Systems Intervention.",2024/Aug/28,None,None,None
39332097,Contributions of digital technologies for resilience capacity in a type 1 diabetes transition clinic: A qualitative study.,2025,"Carrigan, Ann; Lyng, Hilda Bø; Wiig, Siri; Guise, Veslemøy; Long, Janet C; Ellis, Louise A; Wijekulasuriya, Shalini; Dharmayani, Putu Novi Arfirsta; Singh, Nehal; Braithwaite, Jeffrey; Zurynski, Yvonne","Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, Sydney, Australia. Electronic address: ann.carrigan@mq.edu.au.; SHARE - Centre for Resilience in Healthcare, Faculty of Health Sciences, University of Stavanger, Norway.; Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, Sydney, Australia; SHARE - Centre for Resilience in Healthcare, Faculty of Health Sciences, University of Stavanger, Norway.; SHARE - Centre for Resilience in Healthcare, Faculty of Health Sciences, University of Stavanger, Norway.; Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, Sydney, Australia.; Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, Sydney, Australia; Partnership Centre for Health System Sustainability, Australian Institute of Health Innovation, Macquarie University, Australia.; Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, Sydney, Australia; Partnership Centre for Health System Sustainability, Australian Institute of Health Innovation, Macquarie University, Australia.; Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, Sydney, Australia.; Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, Sydney, Australia.; Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, Sydney, Australia; Partnership Centre for Health System Sustainability, Australian Institute of Health Innovation, Macquarie University, Australia.; Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, Sydney, Australia; Partnership Centre for Health System Sustainability, Australian Institute of Health Innovation, Macquarie University, Australia.",ann.carrigan@mq.edu.au.
39320884,Myocardial Scarring and Sudden Cardiac Death in Young Patients With Hypertrophic Cardiomyopathy: A Multicenter Cohort Study.,2024/Nov/01,None,None,None
39317607,Understanding health-related quality of life after hypospadias repair: A qualitative study with pre-adolescent males and parents.,2024,None,None,bhatia@urology.wisc.edu.
39307547,WITHDRAWN: Impact of Provision of Abdominal Aortic Calcification Results on Cardiovascular Risk Reducing Behaviours: A 12-Week RCT.,2024,"Bagatini, S Radavelli; Bondonno, C; Via, J Dalla; Sim, M; Gebre, A; Blekkenhorst, L; Connolly, E; Bondonno, N; Dimmock, J; Devine, A; Williams, E; Wood, L; Sim, M; Hodgson, J; Lewis, J","Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia; School of Medicine, University of Western Australia, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia; School of Medicine, University of Western Australia, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia; School of Medicine, University of Western Australia, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia; Danish Cancer Institute, Copenhagen, Denmark.; Department of Psychology, College of Healthcare Sciences, James Cook University, Qld, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia.; School of Biomedical Science and Pharmacy, The University of Newcastle, Newcastle, NSW, Australia.; School of Biomedical Science and Pharmacy, The University of Newcastle, Newcastle, NSW, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia; School of Medicine, University of Western Australia, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia; School of Medicine, University of Western Australia, Perth, WA, Australia; Centre for Kidney Research, Children's Hospital at Westmead, School of Public Health, Sydney Medical School, The University of Sydney, Sydney, NSW, Australia.",None
39306542,Impact of the culturally adapted kids in control of food (KICk OFF) educational program on glycemic control and BMI in adolescents with type 1 diabetes in Kuwait: A retrospective study.,2024,None,None,badreyaallahou@gmail.com.
39269686,Glycemic and Psychosocial Outcomes of Advanced Hybrid Closed-Loop Therapy in Youth With High HbA1c: A Randomized Clinical Trial.,2025/Jan/01,None,None,None
39258838,Liraglutide for Children 6 to <12 Years of Age with Obesity - A Randomized Trial.,2025/Feb/06,None,None,None
