PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
31273942,Risk of newly detected infections and cervical abnormalities in adult women seropositive or seronegative for naturally acquired HPV-16/18 antibodies.,2019,"Garland, Suzanne Marie; Money, Deborah; Savicheva, Alevtina","The Royal Women's Hospital, The Royal Children's Hospital, Murdoch Childrens Research Institute, University of Melbourne, Parkville, Victoria, Australia.; The Women's Health Research Institute, University of British Columbia, Vancouver, British Columbia, Canada.; Laboratory of Microbiology, DO Ott Research Institute of Obstetrics, Gynaecology and Reproductology, St. Petersburg, Russia.",None
31068934,Production of IgG2 Antibodies to Pneumococcal Polysaccharides After Vaccination of Treated HIV Patients May Be Augmented by IL-7Rα Signaling in ICOS,2019,None,None,None
30924283,Risk factors for multidrug-resistant tuberculosis in northwest Ethiopia: A case-control study.,2019,"Melku, Mulugeta","School of Biomedical and Laboratory Sciences, College of Medicine and Health Sciences, University of Gondar, Gondar, Ethiopia.",None
30838677,Pre-exposure prophylaxis for HIV prevention during pregnancy and lactation: forget not the women and children.,2019,"McLean-Tooke, Andrew P","PathWest Laboratory Medicine WA, Perth, WA.",None
30667060,Pediatric Human Immunodeficiency Virus and Otolaryngologic Manifestations: An Analysis of Hospital Admissions From 1997 to 2012.,2019,None,None,None
30236212,"Incidence and predictors of HIV, chlamydia and gonorrhoea among men who have sex with men attending a peer-based clinic.",2018,None,None,None
30075490,A treatment-support intervention evaluated in South African paediatric populations with HIV infection or tuberculous meningitis.,2018,"Aarnoutse, Rob","Department of Pharmacy, Radboud Institute for Health Sciences, Radboud University Medical Center, Nijmegen, The Netherlands.",None
30063654,Epidemiology of Disease and Mortality From a PICU in Mozambique.,2018,None,None,None
29794652,"Pneumocystis Infection in Children: National Trends and Characteristics in the United States, 1997-2012.",2019,None,None,None
29582391,Authors' reply: Safety of Human Papillomavirus Vaccines.,2018,"Patel, Cyra; Pillsbury, Alexis","National Centre for Immunisation Research and Surveillance, Kids Research Institute, The Sydney Children's Hospitals Network, Cnr Hawkesbury Road and Hainsworth Street, Westmead, 2145, NSW, Australia.; National Centre for Immunisation Research and Surveillance, Kids Research Institute, The Sydney Children's Hospitals Network, Cnr Hawkesbury Road and Hainsworth Street, Westmead, 2145, NSW, Australia.",Kristine.Macartney@health.nsw.gov.
29314351,"Epidemiology of dermatophyte infections among school children in Menoufia Governorate, Egypt.",2018,"Elnaidany, Nada F","Clinical Pharmacy, Faculty of Pharmacy, MSA University, October City, Egypt.",None
29280070,Safety of Human Papillomavirus Vaccines: An Updated Review.,2018,"Patel, Cyra; Pillsbury, Alexis","National Centre for Immunisation Research and Surveillance, Kids Research Institute, The Sydney Children's Hospitals Network, Cnr Hawkesbury Road and Hainsworth Street, Westmead, NSW, 2145, Australia.; National Centre for Immunisation Research and Surveillance, Kids Research Institute, The Sydney Children's Hospitals Network, Cnr Hawkesbury Road and Hainsworth Street, Westmead, NSW, 2145, Australia.",Kristine.Macartney@health.nsw.gov.au.
29191344,Malignant skin tumors: Kids are not just little people.,2017,None,None,grant@uchc.edu.
29136168,A Prospective Study of the Incidence of Juvenile-Onset Recurrent Respiratory Papillomatosis After Implementation of a National HPV Vaccination Program.,2018/Jan/04,"Novakovic, Daniel; Cheng, Alan T L; Zurynski, Yvonne; Tabrizi, Sepehr N; Garland, Suzanne M; Elliott, Elizabeth","University of Sydney Medical School, University of Sydney and Kids Research Institute, Sydney Children's Hospitals Network (Westmead).; University of Sydney Medical School, University of Sydney and Kids Research Institute, Sydney Children's Hospitals Network (Westmead).; University of Sydney Medical School, University of Sydney and Kids Research Institute, Sydney Children's Hospitals Network (Westmead).; Royal Women's Hospital, Department of Microbiology and Infectious Diseases, and Murdoch Children's Research Institute, Infection and Immunity Theme, Parkville.; Royal Women's Hospital, Department of Microbiology and Infectious Diseases, and Murdoch Children's Research Institute, Infection and Immunity Theme, Parkville.; Australian Paediatric Surveillance Unit, University of Sydney and Kids Research Institute, Sydney Children's Hospitals Network (Westmead).",None
29110385,Vitamin D and progression of carotid intima-media thickness in HIV-positive Canadians.,2018,None,None,None
29092704,"Epidemiology of invasive meningococcal B disease in Australia, 1999-2015: priority populations for vaccination.",2017/Nov/06,"McVernon, Jodie; Lahra, Monica M","Victorian Infectious Diseases Reference Laboratory, at the Peter Doherty Institute for Infection and Immunity, Melbourne, VIC.; Neisseria Reference Laboratory and WHO Collaborating Centre for Sexually Transmitted Diseases, Prince of Wales Hospital, Sydney, NSW.",peter.mcintyre@health.nsw.gov.au.
29073952,HAART for Kids' Hearts: The Long View.,2017/Oct/31,None,None,rossanoj@email.chop.edu.
28899312,"Australian Paediatric Surveillance Unit annual report, 2015.",2017/Jun/30,"Deverell, Marie; Phu, Amy; Zurynski, Yvonne A; Elliott, Elizabeth J","Australian Paediatric Surveillance Unit, Kids Research Institute, Westmead, New South Wales.; Australian Paediatric Surveillance Unit, Kids Research Institute, Westmead, New South Wales.; Australian Paediatric Surveillance Unit, Kids Research Institute, Westmead, New South Wales.; Australian Paediatric Surveillance Unit, Kids Research Institute, Westmead, New South Wales.",None
28684223,Performance of and preference for oral rapid HIV testing in The Bahamas.,2018,None,None,indiramartin333@gmail.com.
28640002,Trends in Diagnoses Among Hospitalizations of HIV-infected Children and Adolescents in the United States: 2003-2012.,2017,None,None,None
28473256,"Malnutrition among Hospitalized Children in the United States: Changing Prevalence, Clinical Correlates, and Practice Patterns between 2002 and 2011.",2018,None,None,None
28463977,Production of IgG antibodies to pneumococcal polysaccharides is associated with expansion of ICOS+ circulating memory T follicular-helper cells which is impaired by HIV infection.,2017,"Abudulai, Laila N; Fernandez, Sonia; Burrows, Sally A; Tjiam, M Christian; French, Martyn A","School of Pathology & Laboratory Medicine, The University of Western Australia, Perth, Australia.; School of Pathology & Laboratory Medicine, The University of Western Australia, Perth, Australia.; School of Medicine & Pharmacology, The University of Western Australia, Perth, Australia.; School of Pathology & Laboratory Medicine, The University of Western Australia, Perth, Australia.; School of Pathology & Laboratory Medicine, The University of Western Australia, Perth, Australia.",None
28404501,"Development and validation of measures to evaluate adolescents' knowledge about human papillomavirus (HPV), involvement in HPV vaccine decision-making, self-efficacy to receive the vaccine and fear and anxiety.",2017,"Marshall, H","Vaccinology and Immunology Research Trials Unit, Women's and Children's Health Network and Robinson Research Institute and School of Medicine, University of Adelaide, Adelaide, Australia.",Rachel.skinner@sydney.edu.au.
27681154,Keeping kids in care: virological failure in a paediatric antiretroviral clinic and suggestions for improving treatment outcomes.,2016,None,None,None
27373900,"Efficacy, safety, and immunogenicity of the human papillomavirus 16/18 AS04-adjuvanted vaccine in women older than 25 years: 7-year follow-up of the phase 3, double-blind, randomised controlled VIVIANE study.",2016,"Garland, Suzanne M; Savicheva, Alevtina; Molijn, Anco C; Quint, Wim G V; Suryakiran, Pemmaraju V; Karkada, Naveen","Department of Microbiology and Infectious Diseases, The Royal Women's Hospital, Parkville, VIC, Australia; Department of Microbiology, The Royal Children's Hospital, Parkville, VIC, Australia; Murdoch Childrens Research Institute, Parkville, VIC, Australia; Department of Obstetrics and Gynaecology, University of Melbourne, Parkville, VIC, Australia.; Laboratory of Microbiology, DO Ott Research Institute of Obstetrics and Gynecology, St Petersburg, Russia.; DDL Diagnostic Laboratory, Rijswijk, Netherlands.; DDL Diagnostic Laboratory, Rijswijk, Netherlands.; GSK Pharmaceuticals India Ltd, Bangalore, India.; GSK Pharmaceuticals India Ltd, Bangalore, India.",Cwheeler@salud.unm.edu.
27317881,Respiratory viruses in young South African children with acute lower respiratory infections and interactions with HIV.,2016,"Sikazwe, Chisha; Chidlow, Glenys R; Smith, David W","Division of Microbiology and Infectious Diseases, PathWest Laboratory Medicine, Perth, Australia.; Division of Microbiology and Infectious Diseases, PathWest Laboratory Medicine, Perth, Australia.; Division of Microbiology and Infectious Diseases, PathWest Laboratory Medicine, Perth, Australia.",alicia.annamalay@uwa.edu.au.
27196093,Results of a Multilevel Intervention Trial to Increase Human Papillomavirus (HPV) Vaccine Uptake among Adolescent Girls.,2016,None,None,electra.paskett@osumc.edu.
26988197,Children and young people with perinatal HIV in Europe: epidemiological situation in 2014 and implications for the future.,2016,None,None,None
26914910,Chronic HIV-1 Infection Induces B-Cell Dysfunction That Is Incompletely Resolved by Long-Term Antiretroviral Therapy.,2016/Apr/01,"Abudulai, Laila N","*School of Pathology and Laboratory Medicine, The University of Western Australia, Perth, Australia;†Center for Vaccine and Infectious Disease Research, Telethon Kids Institute, The University of Western Australia, Perth, Australia;‡Department of Infectious Diseases, Prince of Wales Hospital, Sydney, Australia;§Prince of Wales Clinical School, University of New South Wales, Sydney, Australia;‖School of Paediatrics and Child Health, The University of Western Australia, Perth, Australia; and¶Department of Clinical Immunology, Royal Perth Hospital and PathWest Laboratory Medicine, Perth, Australia.",None
26902666,Human papillomavirus (HPV)-16/18 AS04-adjuvanted vaccine for the prevention of cervical cancer and HPV-related diseases.,2016,None,None,None
26575071,Needle Exchange Programs for HIV Outbreaks.,2015/Nov/17,None,None,None
26373926,"HPV.edu study protocol: a cluster randomised controlled evaluation of education, decisional support and logistical strategies in school-based human papillomavirus (HPV) vaccination of adolescents.",2015/Sep/15,None,None,kevin.mcgeechan@sydney.edu.au.
26049542,Growing-up just like everyone else: key components of a successful pediatric HIV disclosure intervention in Namibia.,2015,None,None,None
25650266,Delayed implants sepsis in HIV-positive patients following open fractures treated with orthopaedic implants.,2015,None,None,jamesaird@aol.com.
25631597,"Australian Paediatric Surveillance Unit annual report, 2013.",2014/Dec/31,"Deverell, Marie; Zurynski, Yvonne A; Elliott, Elizabeth J","Australian Paediatric Surveillance Unit, Kids Research Institute, Westmead, New South Wales and Discipline of Paediatrics and Child Health, Sydney Medical School, University of Sydney, New South Wales.; Australian Paediatric Surveillance Unit, Kids Research Institute, Westmead, New South Wales and Discipline of Paediatrics and Child Health, Sydney Medical School, University of Sydney, New South Wales.; Australian Paediatric Surveillance Unit, Kids Research Institute, Westmead, New South Wales and Discipline of Paediatrics and Child Health, Sydney Medical School, University of Sydney, New South Wales and Sydney Children's Hospitals Network (Randwick and Westmead), New South Wales.",None
25468162,New kids on the block--step by step to an ideal HCV therapy.,2015/Mar/21,None,None,cornberg.markus@mh-hannover.de.
25169571,HIV and endocrine disorders.,2014,None,None,hruz_p@kids.wustl.edu.
25022634,Optimizing pediatric clinical care and advocacy in an online era: report of the Canadian Paediatric Society Infectious Diseases and Immunization Committee.,2014,None,None,jdollin@uottawa.ca.
24971594,Promising antibody testing strategies for early infant HIV infection diagnosis in China.,2014,"Yao, Jun; Jiang, Yan; Han, Jianfeng","National HIV/HCV Reference Laboratory, National Center for AIDS/STD Control and Prevention, Chinese Center for Disease Control and Prevention, Beijing, People's Republic of China.; National HIV/HCV Reference Laboratory, National Center for AIDS/STD Control and Prevention, Chinese Center for Disease Control and Prevention, Beijing, People's Republic of China.; National HIV/HCV Reference Laboratory, National Center for AIDS/STD Control and Prevention, Chinese Center for Disease Control and Prevention, Beijing, People's Republic of China.",None
24756210,Epidemiological analysis on two decades of hospitalisations for meningitis in the United States.,2014,"Pellegrino, P","Unit of Clinical Pharmacology, Department of Biomedical and Clinical Sciences, University Hospital ""Luigi Sacco"", Università di Milano, Via GB Grassi 74, 20157, Milan, Italy.",None
24612901,Computerized self-interviews improve Chlamydia and gonorrhea testing among youth in the emergency department.,2014,None,None,ahmad_f@kids.wustl.edu.
24093828,"Acceptability and feasibility of CyberSenga: an Internet-based HIV-prevention program for adolescents in Mbarara, Uganda.",2014,None,None,None
23637071,Safety of human papillomavirus vaccines: a review.,2013,"Macartney, Kristine K","National Centre for Immunisation Research and Surveillance, Kids Research Institute, The Children's Hospital at Westmead, Cnr Hawkesbury Road and Hainsworth Street, Westmead Locked Bag 4001, Westmead, NSW 2145, Australia. kristine.macartney@health.nsw.gov.au",kristine.macartney@health.nsw.gov.au
23186237,"Australian Paediatric Surveillance Unit annual report, 2011.",2012/Sep/30,"Deverell, Marie","Australian Paediatric Surveillance Unit, Kids Research Institute, Westmead, New South Wales, Australia.",None
22918136,Usability and navigability of an HIV/AIDS internet intervention for adolescents in a resource-limited setting.,2012,None,None,Michele@innovativepublichealth.org
22816506,Human papillomavirus vaccine for women over forty: it's not just for kids.,2012,None,None,mayer.anita@mayo.edu
27024328,New antiretroviral for kids.,2012,None,None,None
21951656,Effect of point-of-care CD4 cell count tests on retention of patients and rates of antiretroviral therapy initiation in primary health clinics: an observational cohort study.,2011/Oct/29,None,None,ilesh.jani@gmail.com
21663839,Molecular mechanisms for insulin resistance in treated HIV-infection.,2011,None,None,hruz_p@kids.wustl.edu
21536715,Cell phone usage among adolescents in Uganda: acceptability for relaying health information.,2011,None,None,kim@isolutions4kids.org
21430238,Focus on youth in the Caribbean: beyond the numbers.,2011,None,None,None
21355637,Pilot trial of a disclosure intervention for HIV+ mothers: the TRACK program.,2011,None,None,dmurphy@mednet.ucla.edu
